Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",3749,6945,5542,6727,8724,4147,2452,2544,3890,4032,,1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279,,88855,96405,103349,119175,142238,156743,436175,424663,356985,645457
720827,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",14052,9391,6861,6807,8513,11449,9068,4673,2616,4014,,939132,763834,684654,594720,530341,643593,631316,551544,346621,628215,,66972,49526,57601,57329,39734,50184,66682,56927,39685,51058
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,1960,2401,2981,5305,4941,3902,5480,5133,2452,4003,,28609,22185,21489,23038,24505,25471,27444,26884,19288,24370,,12216,10903,11763,15451,12764,11466,15274,14482,10314,12992
901849,"Instruments and appliances used in dental sciences, n.e.s.",3342,3271,4437,5059,4063,3774,4222,3478,1870,4001,,217985,209451,213238,209480,215521,212811,230705,228812,197134,267374,,36093,37350,44706,41723,45202,56457,64444,65269,37173,69990
841940,Distilling or rectifying plant,102,124,108,386,11057,2607,0,54,50,3976,,152029,124184,123676,116337,98087,41081,36408,38928,23409,24593,,40132,16941,29590,21234,35077,17220,21515,33220,15995,34107
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",1054,2727,3590,2567,3402,3132,3908,2904,2390,3964,,595390,557779,615825,559160,562384,557266,601222,588885,611668,675296,,25203,29769,35700,42389,47153,48958,54845,56435,48551,67039
854020,Television camera tubes; image converters and intensifiers; other photo cathode tubes (excluding ...,23,8,15,16,2,75,881,2517,2290,3959,,180535,143100,131754,115540,128062,143285,144073,150714,141411,161685,,28098,30124,19845,3826,5142,3999,1918,4009,4767,6591
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",596,885,1149,1142,1558,1498,1784,2155,3862,3942,,314203,286574,290043,258808,247202,263212,280293,265923,249510,324610,,36893,38025,45627,44853,47032,53033,58971,64725,69328,102590
845490,"Parts of converters, ladles, ingot moulds and casting machines of a kind used in metallurgy ...",10065,3538,3196,3255,3991,4633,6155,12400,3555,3933,,90100,76488,89794,81482,76963,85296,88079,82894,65679,78153,,88744,52319,71098,64798,64638,44666,56801,104291,51950,61597
810720,Unwrought cadmium; cadmium powders,323,891,1024,1011,949,2038,2740,2299,2236,3894,,1800,1686,1431,1311,1710,2110,3448,3759,3117,3661,,1050,1859,3877,4083,5132,8323,15610,21323,18041,19993
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",2996,2666,3598,3122,3769,2556,3831,4281,3123,3885,,281941,212396,243870,224616,194795,213346,241445,201784,168053,214898,,31966,21807,24915,17071,22925,22705,29359,25645,19599,28104
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,9542,7640,9783,3396,3308,6209,15070,6203,2823,3858,,735668,740427,763205,700107,716952,742145,741376,641730,556449,665997,,40153,49008,71912,69157,57670,53894,77744,63057,47155,83754
283711,Sodium cyanide,1060,2437,2490,1130,1526,1736,4097,5448,6694,3841,,22118,21107,15630,14424,10587,10505,16248,15954,18856,12496,,17257,15906,15011,8180,11953,9203,16985,37805,31613,18957
390710,"Polyacetals, in primary forms",3817,2224,1446,1597,1649,2195,2601,1698,1577,3839,,171192,169226,158393,141000,144241,155513,165310,143157,124064,179552,,42367,42957,49158,50756,53804,64480,80781,79827,68041,92108
731519,"Parts of articulated link chain, of iron or steel",2858,2496,1726,1958,2245,2866,3318,3103,4461,3837,,65445,63810,71747,60832,65813,66015,65636,66033,61252,84070,,8207,7003,6114,7588,7317,9835,10329,10442,9972,11714
293361,Melamine,692,2711,2445,1788,1119,682,2908,6082,5056,3801,,30202,31990,29917,33518,52138,44567,50977,44294,26647,43178,,46528,64410,68633,58346,53933,80480,94246,70435,42448,115002
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),1188,274,174,197,159,160,162,491,214,3799,,231398,223823,241853,258042,312564,384324,440680,388874,464641,568001,,10523,11119,11890,11938,13542,16706,18282,21828,17022,26845
