Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",68194,87239,100059,114020,135053,146483,147105,183413,138885,339589
950639,Golf equipment (excluding balls and complete clubs),32633,34878,43239,58202,60170,87334,101158,136506,162592,337184
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",47202,84484,118594,111895,145883,190148,181899,192951,227491,335581
210690,"Food preparations, n.e.s.",48173,61722,101276,99686,131883,155953,153942,201438,252598,335201
854420,"Coaxial cable and other coaxial electric conductors, insulated",107297,104497,92498,123049,96224,84771,85715,110306,185237,332017
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",172156,230711,256082,272431,240510,224108,307959,305438,248543,322725
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",97183,124976,139495,119338,108560,194900,339610,366819,293379,313153
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",25168,10203,14390,23481,23623,14332,38455,43093,145603,304502
290243,P-Xylene,0,0,0,28,0,0,265347,371426,319099,302914
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",22349,42776,61087,82401,79435,76821,85199,133260,639030,301549
848120,Valves for oleohydraulic or pneumatic transmission,2448,8709,13345,21381,24562,24838,47360,71977,75849,300776
841112,Turbojets of a thrust > 25 kN,0,0,0,0,1,0,0,0,0,300649
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",128318,204368,294337,336592,422030,448854,535967,461021,327096,298916
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",1542,62,775,6674,8657,7385,6181,6558,14450,295049
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",1375,1185,1584,1714,1854,1907,2201,5681,124858,294734
270111,"Anthracite, whether or not pulverised, non-agglomerated",1200860,902332,545621,180802,115861,243757,319758,168813,115581,292268
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,131609,139855,183011,205575,218737,250454,301631,339084,357337,289336
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",1453,2257,9095,18627,38199,49909,65300,143094,297745,288101
110814,Manioc starch,779935,706978,738243,913838,738588,745585,795504,870353,865542,287454
730820,"Towers and lattice masts, of iron or steel",18054,52968,42846,47730,127050,97259,193212,286782,212701,285526
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,235,2338,7851,13295,11592,30386,57540,105519,250250,283009
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",60245,78253,88158,111119,129482,147254,219952,258678,270154,281732
940389,"Furniture of other mareials, including cane, osier or similar materials (excluding of bamboo, ...",37518,42325,41398,53019,80646,132399,124845,148951,281340,278652
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",288182,158941,181883,175159,211487,190304,199262,343654,241814,276608
854232,Electronic integrated circuits as memories,162,8602,59200,59269,12750,2018,23541,15046,69063,275423
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",81413,75858,97603,96448,105477,106942,168770,184293,176294,274383
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),51486,67026,76361,76371,96993,124822,140678,168504,184996,274149
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),116764,169226,212058,211042,244129,276876,281357,296704,220513,272526
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",214108,246692,228416,202812,217071,251822,249354,253329,300395,267055
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",85592,103367,123579,137472,161972,182099,214506,217405,207785,266140
940540,"Electric lamps and lighting fittings, n.e.s.",11894,24197,68479,74258,62634,79079,103987,92389,210063,266017
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",292,271,10554,15069,21583,29092,58376,142027,240077,265252
